State	Population 	Represenative	Population Num	Age	Population age		
.Alabama	"4,903,185"	9	4903185	0	3783052	"3,783,052"	
.Alaska	"731,545"	3	731545	1	3829599	"3,829,599"	
.Arizona	"7,278,717"	11	7278717	2	3922044	"3,922,044"	
.Arkansas	"3,017,804"	6	3017804	3	3998665	"3,998,665"	
.California	"39,512,223"	55	39512223	4	4043323	"4,043,323"	
.Colorado	"5,758,736"	9	5758736	5	4028281	"4,028,281"	
.Connecticut	"3,565,287"	7	3565287	6	4017227	"4,017,227"	
.Delaware	"973,764"	3	973764	7	4022319	"4,022,319"	
.District of Columbia	"705,749"	3	705749	8	4066194	"4,066,194"	
.Florida	"21,477,737"	29	21477737	9	4061874	"4,061,874"	
.Georgia	"10,617,423"	16	10617423	10	4060940	"4,060,940"	
.Hawaii	"1,415,872"	3	1415872	11	4189261	"4,189,261"	
.Idaho	"1,787,065"	4	1787065	12	4208387	"4,208,387"	
.Illinois	"12,671,821"	20	12671821	13	4175221	"4,175,221"	
.Indiana	"6,732,219"	11	6732219	14	4164459	"4,164,459"	
.Iowa	"3,155,070"	6	3155070	15	4175459	"4,175,459"	
.Kansas	"2,913,314"	6	2913314	16	4150420	"4,150,420"	
.Kentucky	"4,467,673"	8	4467673	17	4142425	"4,142,425"	
.Louisiana	"4,648,794"	8	4648794	18	4255827	"4,255,827"	
.Maine	"1,344,212"	4	1344212	19	4330439	"4,330,439"	
.Maryland	"6,045,680"	10	6045680	20	4269683	"4,269,683"	
.Massachusetts	"6,892,503"	11	6892503	21	4278323	"4,278,323"	
.Michigan	"9,986,857"	16	9986857	22	4298772	"4,298,772"	
.Minnesota	"5,639,632"	10	5639632	23	4341644	"4,341,644"	
.Mississippi	"2,976,149"	6	2976149	24	4444518	"4,444,518"	
.Missouri	"6,137,428"	10	6137428	25	4539058	"4,539,058"	
.Montana	"1,068,778"	3	1068778	26	4611220	"4,611,220"	
.Nebraska	"1,934,408"	5	1934408	27	4733869	"4,733,869"	
.Nevada	"3,080,156"	6	3080156	28	4818725	"4,818,725"	
.New Hampshire	"1,359,711"	4	1359711	29	4806144	"4,806,144"	
.New Jersey	"8,882,190"	14	8882190	30	4614384	"4,614,384"	
.New Mexico	"2,096,829"	5	2096829	31	4502311	"4,502,311"	
.New York	"19,453,561"	29	19453561	32	4421505	"4,421,505"	
.North Carolina	"10,488,084"	15	10488084	33	4432973	"4,432,973"	
.North Dakota	"762,062"	3	762062	34	4460132	"4,460,132"	
.Ohio	"11,689,100"	18	11689100	35	4315866	"4,315,866"	
.Oklahoma	"3,956,971"	7	3956971	36	4372444	"4,372,444"	
.Oregon	"4,217,737"	7	4217737	37	4361286	"4,361,286"	
.Pennsylvania	"12,801,989"	20	12801989	38	4305576	"4,305,576"	
.Rhode Island	"1,059,361"	4	1059361	39	4382349	"4,382,349"	
.South Carolina	"5,148,714"	9	5148714	40	4105313	"4,105,313"	
.South Dakota	"884,659"	3	884659	41	4020254	"4,020,254"	
.Tennessee	"6,829,174"	11	6829174	42	3974741	"3,974,741"	
.Texas	"28,995,881"	36	28995881	43	3854040	"3,854,040"	
.Utah	"3,205,958"	6	3205958	44	3967275	"3,967,275"	
.Vermont	"623,989"	3	623989	45	3837909	"3,837,909"	
.Virginia	"8,535,519"	13	8535519	46	3889372	"3,889,372"	
.Washington	"7,614,893"	8	7614893	47	4058038	"4,058,038"	
.West Virginia	"1,792,147"	5	1792147	48	4282657	"4,282,657"	
.Wisconsin	"5,822,434"	10	5822434	49	4329775	"4,329,775"	
.Wyoming	"578,759"	3	578759	50	4096572	"4,096,572"	
				51	4004343	"4,004,343"	
				52	4001782	"4,001,782"	
				53	4068851	"4,068,851"	
				54	4305603	"4,305,603"	
				55	4374565	"4,374,565"	
				56	4361016	"4,361,016"	
				57	4342385	"4,342,385"	
				58	4385570	"4,385,570"	
				59	4413855	"4,413,855"	
				60	4252663	"4,252,663"	
				61	4215172	"4,215,172"	
				62	4156645	"4,156,645"	
				63	3996088	"3,996,088"	
				64	3950578	"3,950,578"	
				65	3774597	"3,774,597"	
				66	3618069	"3,618,069"	
				67	3464437	"3,464,437"	
				68	3345475	"3,345,475"	
				69	3252423	"3,252,423"	
				70	3136704	"3,136,704"	
				71	3083083	"3,083,083"	
				72	3191048	"3,191,048"	
				73	2334433	"2,334,433"	
				74	2283164	"2,283,164"	
				75	2198286	"2,198,286"	
				76	2222392	"2,222,392"	
				77	1911261	"1,911,261"	
				78	1720817	"1,720,817"	
				79	1599909	"1,599,909"	
				80	1475278	"1,475,278"	
				81	1381641	"1,381,641"	
				82	1241341	"1,241,341"	
				83	1151190	"1,151,190"	
				84	1067757	"1,067,757"	
				85	922467	"922,467"	
				86	856646	"856,646"	
				87	778923	"778,923"	
				88	703078	"703,078"	
				89	635982	"635,982"	
				90	536447	"536,447"	
				91	467172	"467,172"	
				92	394067	"394,067"	
				93	320785	"320,785"	
				94	264277	"264,277"	
				95	207086	"207,086"	
				96	157463	"157,463"	
				97	116969	"116,969"	
				98	86150	"86,150"	
				99	57124	"57,124"	
				100	100322	"100,322"	
